;EFECTIVO;INVENTARIO;EQ_OFICINA;EQ_TRANSPORTE;TERRENOS_Y_CONSTRUCCIONES;CONTRIBUCIONES_X_PAGAR;ANTICIPOS_CTE;CAP_SOCIAL;UTILIDADES_ACUMULADAS;UTILIDAD_O_PERDIDA;TOTAL_VENTAS;TOTAL_COMPRAS;UTILIDAD_BRUTA;TOTAL_GASTOS;OBJETIVO
55;7065328661;0;5544693473;2156578356;5028004703;2459596917;3,16379E+16;5129799379;901202993;-1681066131;122100501,8;136550993,8;26102636,17;19166818,25;1
56;3470099143;21301585,78;3180572019;2854710852;0;4122064661;0;9703065325;0;8201131939;357878557,9;102103596,4;58751879,19;70808464,74;1
57;5849753756;2,86727E+16;0;1,39437E+16;0;4732212765;5143626653;1099425207;10786866,32;-2626912387;44879259,38;102045153,9;9172238897;0;1
58;5323834668;0;9646291365;5,81556E+15;0;3340648721;4319943595;1980884044;1470097176;0;29531406,21;39363118,72;18653853,77;18269321,8;1
59;1650295781;8259477613;3170067665;4287535424;4724235,92;2348072318;4,07082E+16;8,33852E+15;1194462448;9184750523;190564505,6;0;0;0;1
60;3,09252E+16;32664884,64;0;1088615476;1696407261;1658412858;10141101,16;0;12392927,4;-3950013417;208188652,2;295074562,9;58639848,79;39682854,29;1
61;3284617,82;5188999284;4971799887;1268711206;-11401873,38;1461371967;0;0;5036649494;1207952707;53182890,63;1398491811;5813009951;6696991614;1
62;6,23897E+15;25268303,48;12297744,46;5657226257;-4380766633;0;4143281459;6232231741;14294985,41;-7631692021;465601517,6;1031129865;105125578,9;0;1
63;7335282473;16719713,73;5040587628;2063480358;5972632,07;2221959635;0;9131227057;0;6358964246;119811806,8;93294129,88;50081070,37;39868739,38;1
64;0;3312484916;9,60852E+15;1260890354;6858110035;6,49063E+15;0;4140545845;0;728658358;14306337,64;6,15298E+15;7,63919E+15;3383474876;1
65;2741392829;2,81341E+16;1241380787;1112251064;-2577196994;1587709756;0;2616790624;-2,73712E+16;3430280727;46521766,14;16724428,22;0;8774264295;1
66;0;7199338728;0;1080163172;-6,75083E+15;1708875473;9774539415;1759189261;6577083668;-3594910,17;51870198,45;0;0;1155647303;1
67;1631363184;2431903492;8274880454;8448784548;6323700376;1615839426;2213579078;9544999556;-3875038827;-1455515604;32060138,68;14034307,5;11460875,66;12282917,55;1
68;5991602855;1688342612;1,43559E+16;2883434826;4,73221E+16;1433629407;0;0;6,42873E+15;-3,8368E+16;36815569,27;19574253,02;0;9009414143;1
69;0;8439046658;1173755718;620748796;8,07931E+15;1164958138;3504873252;2,00406E+16;-7752790376;-1611549858;0;27273241,61;12463658,36;10134914,67;1
70;0;1475154259;0;3808622318;9000965462;1302834074;2391287009;2,41439E+16;2310181636;0;131845687,1;0;18852088,19;22435091,06;1
71;6953956794;51862419,31;1676756549;2073740241;5262272433;9592352955;8,34123E+15;1010614,95;23847016,97;0;328059982,7;405400479,8;23653369,65;0;1
72;9121550792;28294059,6;1331485877;3,67764E+16;8803333096;1662014723;1,91792E+16;2266462932;-11933806,82;-5527267844;14003952,15;42267741,9;0;4358418909;1
73;5430910621;5834804597;4288125123;5962363539;-7917524295;8165349217;2489765,62;15472740,98;1240350981;3560363792;26396399,03;18426600,89;7184348956;0;1
74;4284264527;22720375,85;15996990,26;6,56675E+15;-2932414,84;1149761446;5,76179E+15;4946626359;19159813,48;-6399675534;471645997,7;763205611,7;74019120,05;55567351,42;1
75;8382853694;6620020789;2659313606;2,89769E+16;-8,90949E+15;1747420791;2,86276E+16;0;12498656,59;-4021449352;106517974,4;129105674,5;5254199054;5715174408;1
76;1882793086;0;16113434,56;1,50995E+16;5972997,4;8755484724;2718382642;0;9879489799;-1769202507;190299899,1;87802165,24;34297476,96;42869493,91;1
77;1308453909;32119816,83;2,8123E+16;3346092937;2589250171;7858458086;0;4181010608;19061229,95;-2384854477;360489954,3;364810668,8;48899158,25;44044160,25;1
78;9640081291;8769380405;0;4219023627;-3187410452;1106344385;3528653821;0;4549524,67;-3405894195;57735048,09;0;9435905064;0;1
79;8228812523;7913688343;0;8969898105;-4723967244;2848196812;9674866194;3273387216;-1,62549E+16;-8,61896E+15;17556875,66;0;0;12618962,4;1
80;2270232196;5055917408;2728862524;6378619828;-9986630704;6085555956;2748297,99;4862265617;0;-4960426323;122535155,1;37376456,37;20577800,85;0;1
81;0;1761094732;7334568064;1377474621;-14105012,21;2894432446;2,29724E+16;4,09979E+16;3869700756;-1885998839;0;81387494,88;10050065,66;10200882,76;1
82;2456214954;2098207493;1469016484;4450104272;0;1989523025;1698698462;2432738433;0;-6448895763;0;6211138574;1036459681;2481517805;1
83;244748968;4055066,22;1389279935;0;7797508,55;781820211;6025069045;0;2758752539;-1977719,07;37529333,31;8,28652E+15;8402124172;0;1
84;7911665772;5665850243;2724781088;3385178943;0;7973568405;0;4891287278;-6389151587;-1564173712;64595256,09;35143129,64;9254822955;6294458485;1
85;1916303326;1943840507;3184300204;2435132194;-9661633764;5,63051E+16;2276825,24;0;3,29487E+16;0;138589187;8931730684;7781008837;6,02503E+15;1
86;6747525671;1385526375;2791351678;323323669;5899189,45;6557108775;1316733675;1421828812;-6299910985;0;15955318,68;15563727,01;0;0;1
87;8049026223;1,17594E+16;1142642033;6,44376E+16;5344081381;4994272155;4700825615;5485500475;0;6947501396;10046791,52;0;24203860,79;18595328,91;1
88;7569581646;0;6407035321;6559502436;-8,40061E+15;1051574202;0;4726438918;7824591953;0;59124450,64;17371539,64;4803347028;8159472954;1
89;0;15417330,12;8382825046;1,94146E+16;-5224933222;6723762234;0;0;19174145,75;-1831603134;232182926,5;0;22853223,16;0;1
90;2928990562;16494894,76;8656430091;4597808059;0;1125650941;2508093244;3283902861;5925487498;-2942859144;62078793,39;26502869,1;0;7972271556;1
91;1,99491E+16;1196310748;0;8564978784;-13773588,69;1786696027;0;3311825,78;2260385545;-2242842552;21053554,27;0;8670883759;5,3861E+16;1
92;0;8316394011;4,07215E+16;2665121,55;9707130431;3931423473;2274747163;1686650372;2,1466E+16;-3544404917;0;309672107,4;13733187,24;17766490,14;1
93;0;16028192,41;219653598;2272803285;0;5759924375;0;4841284,51;14555435,45;-9895400337;234024496,6;0;18246725,17;19188585,81;1
94;6288597218;14776381,65;3643148665;6402033185;4822903797;5300448517;6736454,4;2591388998;10872131,46;-6,38719E+15;80068997,44;99814165,7;9609799,94;13448832,05;1
95;2367213099;0;1295958118;922921077;2,32619E+16;3664591187;0;2149624498;13026086,04;-3802506175;48528209,9;13119957,1;8,10161E+15;7646892784;1
96;12359857,84;81999342,6;8,36171E+15;0;4,14609E+16;1023671896;23541825,02;8,09252E+16;11676118,94;-7177420101;396091756,1;0;25378906,29;29599521,56;1
97;0;1570941861;3159820244;3251913218;1734335969;4271284905;6876079202;3124398068;7450420902;-4521654098;9213403093;37610370,42;0;5,97089E+16;1
98;1265904959;14656272,1;18509807,42;3477834665;9002437707;0;1,57419E+16;1282225866;0;-3,44485E+16;307862358,3;749259351,7;56236482,7;54442712,66;1
99;2516943014;5606625591;2,28416E+16;3775270759;7,74009E+15;1018855791;5,39151E+15;5987710297;-16489933,7;-9193182699;10228080,11;26857674,45;12396803,81;22513735,4;1
100;2,8955E+16;1386303756;2369235047;9882623329;-13331364,05;1266466946;8688611759;2539350848;0;-1782947091;54756115,6;71257035,95;7405899573;14239330,83;1
101;1288619207;148609859;2178684734;4331592052;0;6,27148E+16;5642320196;1864121661;-3241504635;-1006365573;3,19091E+16;1911870775;3313285043;1212400173;1
102;3690345109;0;0;0;0;7744039572;2,20678E+16;3,88573E+16;-5099863406;-6100534586;0;9149311148;1106136745;2535749919;1
103;3321030919;13438341,73;5101247257;2650942876;5891995128;0;2284934619;2907047425;2784632189;3006522889;157395779,6;94767531,68;36974075,48;38760237,34;1
104;6071467774;2,09347E+16;2428621,36;0;-1626319174;2059650634;1045214813;4762548642;2,9723E+16;-1,35613E+16;0;243960879,5;0;15805938,31;1
105;2188140,14;51117239,29;0;0;-1,22021E+16;7858831395;10887873,5;1297721115;32872025,2;-4996840237;639961380,1;184670467,7;51786075,23;35865332,89;1
106;1878296061;48310861,82;5,31969E+16;4,30396E+16;8,38044E+15;0;4950997871;1774411905;-4589637463;-7135965095;38379036,16;140023946,1;7124777429;5,44907E+15;1
107;4,48479E+16;2822932477;19797701,19;2219076306;-11547185,63;3458136313;0;1843669446;9499713634;636939128;122881438,8;46990021,26;34056143,23;0;1
108;8152315,71;32215741,9;9877693099;2,96273E+16;-4116123,25;1610559888;0;3984259021;24913557,91;-2324496815;437593573,6;212234550,6;38427591,23;0;1
109;1651737576;10335325,51;9607005787;8747023953;1281407821;2,75714E+16;1,92844E+16;0;6,96529E+15;6424375435;149171083,7;26459743,8;27792604,29;27630664,22;1
110;2219071,44;9,00078E+15;3446594425;3513452,67;-13013410,77;9448094234;1337697882;7706882801;13500214,28;-5105728851;68275694,45;0;4,54351E+15;7583622405;1
111;5,90268E+16;0;0;2,75286E+16;-4,32353E+15;2,79002E+16;1,71311E+16;0;-7263415,98;-2271899485;0;8021387996;9,4575E+15;3979023922;1
112;0;6473263052;1048747118;5812288435;6368525635;9,37379E+15;2636670482;3809353822;2380335714;-2118903966;38094117,28;49700002,41;22971649,79;24050654,49;1
113;9968186924;3453364901;482496821;0;1431092362;6,57089E+15;1451047,22;2,29332E+16;-5754647,97;-1389044856;10310699,42;11286471,54;7180138134;9679380452;1
114;1474767329;9200074332;3750966992;0;0;0;350658154;2492126825;-17950936,32;-2330462755;2437514499;2423623701;1154761106;1118284862;1
115;0;32100064,76;5223897056;2,85465E+16;7483738589;1890408995;1853456019;1,48515E+16;4854612164;-4419096949;218919115,8;400305612,1;34254230,64;24155660,06;1
116;6579042182;39213763,86;3240925439;1790715788;8857199,57;6,20658E+16;1,51229E+16;9771284496;-12535280,64;-2516317537;29960777,22;3685098062;5969217075;4289548091;1
117;3485434725;1299179055;5396643894;9440019362;-1789542229;1042916186;0;4967266,33;-5885437212;4355895469;6421749469;2,168E+16;1324290807;3,14074E+16;1
118;158297795;2709175768;0;6188741724;-6530360407;842713357;1398050527;786103593;-1386936406;5633620794;13285969,91;0;0;4811423235;1
119;6355732533;2610660609;3034598646;2292334,47;-7061423052;152175011;2392799433;9087916444;-1018528199;1,0211E+16;25258024,32;6076935403;2310874131;5519082239;1
120;1294425879;1831858254;4,96283E+16;6036632393;3367707367;0;359898311;3171412317;-17145455,44;0;4872625297;2110279035;1368426939;0;1
121;6011311671;2332548158;5,35807E+15;2491693554;-6003758957;403892659;7483430449;14552786,29;0;7999741345;27770195,69;18916367,64;4672728661;5801814716;1
122;0;3673960389;1268632724;6914852419;0;7810099279;324858583;0;-5125174728;6261712685;15863985,27;4317357,82;2,68611E+16;4,06058E+16;1
123;1246019641;1834790574;3595112591;6680562563;8398003088;3484000398;3420614773;0;-20541913,89;0;11977172,84;3816077785;0;4641821613;1
124;0;23852324,26;1,23761E+16;5559160118;7475960913;5662659885;9587254099;6,7568E+15;1372169101;-2766821152;35799185,38;0;26883477,45;21181600,05;1
125;6451957006;1,54607E+16;2172360685;2788393705;-1,934E+16;4822431384;3,29287E+16;5766649381;0;0;9431080456;10125888,37;8482714688;0;1
126;9716359467;0;1742069852;5849185995;5,93991E+16;2185524497;2631638004;6568223325;5771131536;-5,66481E+15;0;11411200,09;0;6106785802;1
127;3682102858;3412679857;6836164848;3455089696;4233991912;1290764692;5910686493;3716680749;-4,36773E+15;0;29381979,75;16932057,26;0;18545320,38;1
128;1346947375;1,76285E+16;1252085779;9939675643;5723483194;2006548752;5,00331E+16;0;0;0;28023052,98;11913183,99;11557534,18;0;1
129;1599492458;0;4272058205;4,04051E+16;-9422200426;8397688755;4415010,54;1884180382;19321122,25;-1960434711;303520409,6;154736265,2;21401181,32;23280950,14;1
130;3,37653E+16;35841763,79;1249002762;0;3,22661E+16;2459669133;15762954,05;0;6661607,36;-6992223109;97402678,94;565704551,7;10342471,51;15312989,59;1
131;1502370517;60696654,45;4,06552E+16;1495228439;8110173073;7290169354;4576307621;8397237146;1126507105;-4378911635;156364607,9;404446656,8;43016058,99;42427924,89;1
132;0;90839848;0;6888069625;0;0;1063437741;3573300539;-7621761265;2608311805;8014782669;8,22154E+15;3090061992;3851491222;1
133;3332549015;15279511,17;1358187305;9025838865;6,79666E+15;1303220373;6646043664;3,15895E+16;4751606974;-1720389737;0;31678060,63;4762427391;13777361,22;1
134;0;0;3,4019E+16;2094624941;8574533501;2888543143;5,24581E+15;1113082938;0;5043185725;5985426116;6360218758;0;8060660515;1
135;0;36870651,85;6870462148;128347281;8773662433;1507355793;5299204231;0;-1,98986E+16;-6822773085;23807508,79;14470944,61;4482280,73;8,22016E+15;1
136;0;5202012281;3951624104;7652983665;5730725035;3736680206;3938962756;4093889,24;3,6116E+16;-1427211813;53290337,95;27134144,64;9,72838E+15;0;1
137;3331259624;18827377,47;8824666869;421947915;6512368161;4392446145;4945569772;1921164996;6741736851;-5879792993;55430564,87;58990919,92;0;0;1
138;8,26928E+15;4161713905;1037917935;1414740927;-3387162563;2899631389;0;3713218785;15822045,36;0;156252736,8;28783442,71;14088161,36;23581012,67;1
139;1807838496;28413813,5;26135057,52;8055283384;3625700776;3081696,76;18918948,56;8323482016;0;0;0;203272158,9;48387276,43;29345218,83;1
140;2402466304;0;1469527568;142127231;8,41804E+15;3901226156;2634403,5;0;-2256753795;-4533432865;16211594,44;0;5272612268;9641812774;1
141;3268397952;7935800235;3411101673;1266971893;2668960324;4855173943;1544000267;3898956137;18563287,18;-2299250371;198406019,5;35463984,39;0;20735036,45;1
142;0;6530236529;9351356915;0;-4971300769;5,94777E+15;1406627392;3652243361;3,26744E+16;-2271653,66;20668852,36;14219206,84;2104317202;1643523,55;1
143;4585200213;3260926,45;1651004679;0;3893878,17;2198701179;1182897886;9079703559;-6958184515;-1130793206;0;15445452,87;0;0;1
144;0;4052899513;7711610387;5040274834;0;1907643344;0;2749047105;-5982104528;-5833708793;10524421,65;24588295,02;6,37625E+15;0;1
145;498755,15;1591845697;1621791356;2951623226;5806409047;9,10453E+15;3165499571;6220809509;-17285103,33;2393773286;6,98567E+15;6734723443;0;6,31142E+15;1
146;1270957371;5165467553;5040359288;1347053656;-3211018983;326851077;3612490222;9653448158;-2354309111;-7134034582;38485054,99;0;13704053,28;15591390,16;1
147;1968346631;3116899279;14157104,1;1997190793;-4,22251E+15;6146063525;1254961616;4023740206;-8885131645;-7337342683;19501925,91;73071952,68;9875454008;11090722,74;1
148;1843185885;11735823,39;5232680447;1,41975E+16;3966502499;3237890203;9857319247;0;6658922429;0;96198853,94;100206637,4;33726713,44;34317892,74;1
149;4877128175;0;1001989431;579839549;0;1307131011;0;2973243418;-6614725515;-2865933405;10560675,16;52335789,03;4114662409;0;1
150;7911651591;3,97319E+16;4723059418;0;-3182283057;1396363266;1487889486;367231417;0;-2535027,61;63260143,09;26792132,59;10266593,7;9521511953;1
151;6216360642;2155082734;1124425925;6569954737;-4782918927;3011722351;1104178409;3015231172;-6950969403;-2769278102;15263721,79;19077124,57;8,0094E+15;8119169118;1
152;1509864792;7312950241;7971549879;1,55019E+16;0;2769439756;9621413447;1573006575;5374429194;-9999363915;64025537,8;13451775,74;4,02738E+16;5710807114;1
153;1,00673E+16;5043595697;1545346065;4396407072;-7761851048;5035467472;5,16372E+15;1968412725;7362107935;-3847061733;59302381,58;37374016,71;0;7,76832E+15;1
154;9396724721;8,28479E+15;2,66158E+16;0;-3606095129;173067777;6308435702;7555377398;12001620,78;-1201608274;239131263;131139834,7;0;36135856,49;1
155;8417623113;1,2213E+16;5,48831E+16;0;0;9,32492E+15;1636266919;535534555;17328206,34;-7903349,36;15743848,34;4941021263;1929539942;1,35381E+16;1
156;2498113455;8,93181E+15;2296844954;1074864943;-9,70541E+15;1363924008;2036773297;7885168038;-2085882736;9241065412;34074013,9;16330578,47;14424673,93;15119751,31;1
157;1,02872E+16;3632856392;5521670924;1854975468;-9018645061;1717075229;160763829;1944142,15;0;6009585846;9,37352E+15;6,32427E+15;5926122876;9955935286;1
158;4,20291E+16;7474602297;0;5367632521;7,61418E+15;3207948843;9179865765;7712726949;-11719187,15;-6121757675;1,00068E+16;7769376384;7,50329E+15;0;1
159;1646036039;0;0;2910202291;1472165291;2170237085;3,72334E+16;7664641821;19728549,25;-6063310292;0;59888866,03;40157767,48;33810982,38;1
160;0;0;4797469679;6908064279;-7123196136;2324723639;6576944324;7,63776E+15;20753685,52;0;170786357,8;285493470,7;24805178,62;20839982,36;1
161;0;11979727,47;5034681062;1950606328;6,78797E+15;0;0;3095099472;4057002363;-3883866462;42318043,48;0;2,16446E+16;2,98073E+16;1
162;4386210917;11002320,12;2617350866;0;3,67772E+16;2008362579;2183084746;4525252183;4006670497;9527404747;122702875,6;12310906,94;12564949,97;0;1
163;2165862247;0;6881604377;334366565;-11277977,92;1259522471;2533990586;5102581365;12672426,1;-4053557138;29933185,97;20252777,34;11072386,09;11551751,42;1
164;7,99183E+15;1795175613;3412909488;3125816801;5307168074;1035134558;5365162418;1635128475;3637192922;3534098596;22214942,29;6564199372;15566074,09;11289426,14;1
165;0;2810345018;1063249962;1488193688;-6193584943;0;8223925175;3322944645;-3,71666E+16;8655050023;0;48651728,34;35651338,9;28023756,41;1
166;0;24274659,77;3583269,66;0;5057658346;1818649515;0;3384361626;10288704,23;0;0;0;16891418,41;0;1
167;3242356167;5,43577E+15;1006010465;4228713918;0;2270031852;1357849996;1170601497;1077113212;0;17511841,85;14751048,78;8892723,36;0;1
168;6324815518;14559768,69;3575546713;0;7286658881;2194376876;8,63694E+15;3,83097E+16;4167561915;1632914313;74125361,49;4618554598;8406706824;14270592,2;1
169;9021834149;27490645,15;85259936,14;0;-3,30327E+16;3437945425;19028851,64;0;22941154,72;-4554212251;0;537530795,5;53162705,31;41546793,23;1
170;6246856805;3,36698E+16;0;0;6579779497;7,76329E+15;1704130198;0;-18831331,04;898866843;28791680,19;31772375,18;16481245,01;15936981,67;1
171;0;11123714,56;1214791,51;4742967629;4936821932;0;2208351205;1336595535;0;-4535728126;39779575,24;0;16084399,24;14362904,39;1
172;1708180211;2842680736;0;1,5208E+16;9149476446;4126795916;3917548818;4889913,79;2499133194;-4940132576;54502187,35;21951410,86;6,03844E+15;10658473,48;1
173;8528907598;0;1,73586E+16;5275527,17;-5817031948;3725789763;7517630537;6057474167;2,99807E+16;7724650812;309277815,1;549438974,9;71928759,78;0;1
174;6203786059;27209342,64;1842821902;536103016;8478174281;2525253725;2732024184;6180381355;0;-7009667,12;45710007,49;0;4067732727;5,37061E+15;1
175;7478332074;0;5,54993E+15;3,99152E+16;1944626798;7197483945;12822855,2;6,7613E+15;9543964447;0;269330773,6;500542216,6;31548672,82;26309461,06;1
176;3300614006;13052965,62;8887861581;7462582932;0;0;1586509899;14924184,74;5607744284;-459428902;110144393,5;111372241,7;26806401,89;0;1
